question,subject
What is gradient descent?,Maths
Explain the chain rule in calculus.,Maths
What is backpropagation mathematically?,Maths
Solve this differential equation.,Maths
What is a Fourier transform?,Maths
Explain eigenvalues and eigenvectors.,Maths
What is linear algebra used for?,Maths
How do you compute a matrix inverse?,Maths
What is photosynthesis?,Biology
Explain DNA replication.,Biology
How does mitosis differ from meiosis?,Biology
What is the role of ribosomes?,Biology
Describe the human circulatory system.,Biology
What are enzymes and how do they work?,Biology
Explain the theory of evolution.,Biology
What is a cell membrane?,Biology
What is Newton's second law?,Physics
Explain the theory of relativity.,Physics
How does a capacitor work?,Physics
What is quantum mechanics?,Physics
Explain electromagnetic induction.,Physics
What is thermodynamics?,Physics
Describe wave-particle duality.,Physics
How does friction affect motion?,Physics
What is convolution in CNNs?,Computer Vision
How does object detection work?,Computer Vision
Explain YOLO algorithm.,Computer Vision
What is image segmentation?,Computer Vision
How does face recognition work?,Computer Vision
What is optical flow?,Computer Vision
Explain edge detection using Sobel filter.,Computer Vision
What are feature descriptors like SIFT?,Computer Vision
How does a jet engine work?,Aerospace
What is Bernoulli's principle in flight?,Aerospace
Explain orbital mechanics.,Aerospace
What is the role of thrust in rockets?,Aerospace
How do satellites stay in orbit?,Aerospace
What is aerodynamic drag?,Aerospace
Explain the stages of a rocket launch.,Aerospace
What materials are used in aircraft design?,Aerospace
What is overfitting?,Data Science
Explain bias variance tradeoff.,Data Science
What is k-means clustering?,Data Science
How do you clean a dataset?,Data Science
What is exploratory data analysis?,Data Science
Explain cross-validation.,Data Science
What is feature engineering?,Data Science
How do you handle missing values?,Data Science
What is a neural network?,Machine Learning
Explain supervised vs unsupervised learning.,Machine Learning
What is a decision tree?,Machine Learning
How does random forest work?,Machine Learning
What is reinforcement learning?,Machine Learning
Explain the concept of transfer learning.,Machine Learning
What is a support vector machine?,Machine Learning
How does backpropagation train a network?,Machine Learning
What causes earthquakes?,Geography
Explain plate tectonics.,Geography
What is the water cycle?,Geography
How are mountains formed?,Geography
What is climate change?,Geography
Describe the layers of the atmosphere.,Geography
What are ocean currents?,Geography
How does erosion shape landscapes?,Geography
Who wrote Romeo and Juliet?,Literature
What is a metaphor?,Literature
Explain the plot of 1984 by Orwell.,Literature
What is the difference between poetry and prose?,Literature
Who is the protagonist in Hamlet?,Literature
What is the theme of The Great Gatsby?,Literature
Explain narrative point of view.,Literature
What is literary symbolism?,Literature
